Sendungstitel,Gast_1,Beschreibung_1,Gast_2,Beschreibung_2,Gast_3,Beschreibung_3,Gast_4,Beschreibung_4,Gast_5,Beschreibung_5,Gast_6,Beschreibung_6,Gast_7,Beschreibung_7
 Markus Lanz 01.02.2011,Til SCHWEIGER,Schauspieler,Jasmin GERAT,Schauspielerin,Armin ROHDE,Schauspieler,Christian LÜDKE,"Psychotherapeut, Kriminalpsychologe",Anja WILLE,verlor 2004 ihren Sohn Felix durch ein Gewaltverbrechen,,,,
 Markus Lanz 01.02.2012,Marianne KOCH,"Ärztin, Schauspielerin und Buchautorin",Burkhard DRIEST,"Autor, aktuelles Buch ""Der Maikäfer und der Krieg"" und Schauspieler",Micky BEISENHERZ,"Buchautor, aktuelles Buch ""Zum Traumpaar in 30 Tagen"", Hörfunk- und Fernsehmoderator",Indira WEIS,Sängerin und Schauspielerin,Dirk STERMANN,"Radiomoderator, Kabarettist und Buchautor, aktuelles Buch ""6 Österreicher unter den ersten 5""",,,,
 Markus Lanz 01.03.2011,Gertrud HÖHLER,"Publizistin, Politikberaterin",Joey KELLY,Extremsportler,Arved FUCHS,Abenteurer,Christian BERKEL,Schauspieler,,,,,,
 Markus Lanz 01.03.2012,Wolfgang KUBICKI,"Jurist und Politiker, FDP",Heiner BREMER,Journalist,Erika PLUHAR,Schauspielerin und Autorin,Radost BOKEL,Schauspielerin,David WERKER,Comedian und Student,,,,
 Markus Lanz 01.04.2014,Katrin KÜHNEMANN,Ärztin und Moderatorin,Andreas SCHEUER,Politiker,Reinhold BECKMANN,Moderator und Sänger,Barbara RUSCHER,Kabarettistin,Detlef STEVES,Reality-TV-Darsteller,,,,
 Markus Lanz 01.04.2015,Hannelore HOGER,Schauspielerin,Katja KRAUS,Autorin,Ray COKES,MTV-Moderator,Herbert NITSCH,Apnoetaucher,,,,,,
 Markus Lanz 01.05.2012,Marina WEISBAND,"Politikerin, Piratenpartei",Klaus BRINKBÄUMER,Spiegel-Journalist,Dagmar BERGHOFF,Moderatorin,Armin ROHDE,Schauspieler,Florian VOGT,Tenor,,,,
 Markus Lanz 01.05.2013,Mario BASLER,ehem. Fußballprofi,Carsten JANCKER,ehem. Fußballprofi,Anna KRAFT,Fernsehmoderatorin,Rolf FUHRMANN,Reporter,Norbert DICKEL,ehem. Fußballprofi,,,,
 Markus Lanz 01.05.2014,Stefan KRETZSCHMAR,ehem. Handballspieler,Günter WALLRAFF,Autor,Caro LOBIG,Journalistin,Frank BUSCHMANN,Moderator,Philomena FRANZ,Holocaust-Überlebende,,,,
 Markus Lanz 01.06.2011,Alexander HOLD,Richter,Hermann TIEDJE,Journalist und Medienmanager,Dirk STEFFENS,"TV-Moderator, Naturfilmer",Jan KIELSTEIN,Nierenspzialist Medizinische Hochschule Hannover,Robert KUHNT,erkrankte an einer EHEC-Infektion,,,,
 Markus Lanz 01.07.2012,Bodo ILLGNER,ehem. Fußballnationalspieler,Rolf TÖPPERWIEN,Sportreporter,Peter BRIEGEL,ehem. Fußballnationalspieler,Gerd RUBENBAUER,Sportreporter,Andrea KAISER,Sportmoderatorin,Giovanni ZARRELLA,Sänger und Moderator,,
 Markus Lanz 01.07.2014,Dieter KÜRTEN,Sportmoderator,Erich RIBBECK,ehem. Nationalspieler,Panagiota PETRIDOU,Moderator,Thomas STRUNZ,ehem. Fußballspieler,Patrick OWOMOYELA,ehem. Fußballspieler,,,,
 Markus Lanz 01.07.2015,Reinhard SCHLIEKER,Finanzexperte,Rainer LANGHANS,"Filmemacher, Autor",,,,,,,,,,
