Name,Vorname,Nachname,Geschlecht
Aaron Altaras,Aaron,Altaras,0
Abdassamad El-Yazidi,Abdassamad,El-Yazidi,0
Abdelkarim,Abdelkarim,NA,0
Abdul Abbasi,Abdul,Abbasi,0
Abdul Chahin,Abdul,Chahin,0
Abdul Kader Chahin,Abdul,Kader Chahin,0
Abdullah Khan,Abdullah,Khan,0
Abed Hassan,Abed,Hassan,0
Abi Ofarim,Abi,Ofarim,0
Abraham Teuter,Abraham,Teuter,0
Achim Berg,Achim,Berg,0
Achim Brötel,Achim,Brötel,0
Achim Gruber,Achim,Gruber,0
Achim Reichel,Achim,Reichel,0
Achim Theiler,Achim,Theiler,0
Achim Truger,Achim,Truger,0
Adam Tooze,Adam,Tooze,0
Adel Tawil,Adel,Tawil,0
Adele,Adele,NA,1
Adolf Gallwitz,Adolf,Gallwitz,0
Adrian Geiges,Adrian,Geiges,0
Adrian Tempany,Adrian,Tempany,0
Adriana Altaras,Adriana,Altaras,1
Aeham Ahmad,Aeham,Ahmad,0
Agnes Flügel,Agnes,Flügel,1
Agnes Wich,Agnes,Wich,1
Ahmad A Omeirate,Ahmad,A Omeirate,0
Ahmad Abbas,Ahmad,Abbas,0
Ahmad Omeirat,Ahmad,Omeirat,0
Ahmad Shakib Pouya,Ahmad,Shakib Pouya,0
Ahmed Mansour,Ahmed,Mansour,0
Ahmet Toprak,Ahmet,Toprak,0
Ai Weiwei,Ai,Weiwei,1
Aiman Mazyek,Aiman,Mazyek,1
Aimée van Baalen,Aimée,van Baalen,1
Ajla Kurtovic,Ajla,Kurtovic,1
Akif Çagatay Kılıç,Akif,Çagatay Kılıç,0
Aktham Suliman,Aktham,Suliman,0
Al Sharpton,Al,Sharpton,0
Aladin El-Mafaalani,Aladin,El-Mafaalani,0
Alan Ezzat,Alan,Ezzat,0
Alan Posener,Alan,Posener,0
Alban,Alban,NA,0
Albano Carrisi,Albano,Carrisi,0
Albert Stegemann,Albert,Stegemann,0
Albert Zink,Albert,Zink,0
Alberto Tomba,Alberto,Tomba,0
Albrecht Roebke,Albrecht,Roebke,0
Albrecht von Lucke,Albrecht,von Lucke,0
Aleksandar Zec,Aleksandar,Zec,0
Aleksandra Bechtel,Aleksandra,Bechtel,1
Aleksandra Rybinska,Aleksandra,Rybinska,1
Alena Buyx,Alena,Buyx,1
Alev Doğan,Alev,Doğan,1
Alex Christensen,Alex,Christensen,0
Alex Kienscherf,Alex,Kienscherf,0
Alex Kristan,Alex,Kristan,0
Alex Reichmuth,Alex,Reichmuth,0
Alexa Hennig von Lange,Alexa,Hennig von Lange,1
Alexander Ahrens,Alexander,Ahrens,0
Alexander Borchard,Alexander,Borchard,0
Alexander Dobrindt,Alexander,Dobrindt,0
Alexander Gauland,Alexander,Gauland,0
Alexander Gerst,Alexander,Gerst,0
Alexander Gorkow,Alexander,Gorkow,0
Alexander Graf Lambsdorff,Alexander,Graf Lambsdorff,0
Alexander Graf von Schönburg,Alexander,Graf von Schönburg,0
Alexander Held,Alexander,Held,0
Alexander Herrmann,Alexander,Herrmann,0
Alexander Hold,Alexander,Hold,0
Alexander Huber,Alexander,Huber,0
Alexander Jorde,Alexander,Jorde,0
Alexander Kissler,Alexander,Kissler,0
Alexander Koch,Alexander,Koch,0
