index,episode_name,date,description,factcheck,length,name,role,message,talkshow,party,media,group
0,maischberger am 20.11.2024,2024-11-20,"Sexualisierte Gewalt gegen Frauen: Direkt nach dem ARD-Film “Bis zur Wahrheit”: Im Gespräch die Schauspielerin Maria Furtwängler und die Rechtsanwältin für Familienrecht Christina Clemm. Trump besetzt sein Kabinett: Im Gespräch der US-amerikanische Journalist und Autor Bob Woodward. CDU-Pläne nach Ampel-Aus: Im Studio der ehemalige CDU-Kanzlerkandidat und frühere Ministerpräsident von Nordrhein-Westfalen Armin Laschet. Es kommentieren der Schauspieler Walter Sittler, die Autorin der Neuen Zürcher Zeitung Susanne Gaschke, der Redaktionsleiter des WDR-Politmagazins „Monitor“ Georg Restle.",,75,Christina Clemm,,,maischberger,,,
1,maischberger am 20.11.2024,2024-11-20,"Sexualisierte Gewalt gegen Frauen: Direkt nach dem ARD-Film “Bis zur Wahrheit”: Im Gespräch die Schauspielerin Maria Furtwängler und die Rechtsanwältin für Familienrecht Christina Clemm. Trump besetzt sein Kabinett: Im Gespräch der US-amerikanische Journalist und Autor Bob Woodward. CDU-Pläne nach Ampel-Aus: Im Studio der ehemalige CDU-Kanzlerkandidat und frühere Ministerpräsident von Nordrhein-Westfalen Armin Laschet. Es kommentieren der Schauspieler Walter Sittler, die Autorin der Neuen Zürcher Zeitung Susanne Gaschke, der Redaktionsleiter des WDR-Politmagazins „Monitor“ Georg Restle.",,75,Susanne Gaschke,,,maischberger,,NZZ,Journalismus
2,maischberger am 20.11.2024,2024-11-20,"Sexualisierte Gewalt gegen Frauen: Direkt nach dem ARD-Film “Bis zur Wahrheit”: Im Gespräch die Schauspielerin Maria Furtwängler und die Rechtsanwältin für Familienrecht Christina Clemm. Trump besetzt sein Kabinett: Im Gespräch der US-amerikanische Journalist und Autor Bob Woodward. CDU-Pläne nach Ampel-Aus: Im Studio der ehemalige CDU-Kanzlerkandidat und frühere Ministerpräsident von Nordrhein-Westfalen Armin Laschet. Es kommentieren der Schauspieler Walter Sittler, die Autorin der Neuen Zürcher Zeitung Susanne Gaschke, der Redaktionsleiter des WDR-Politmagazins „Monitor“ Georg Restle.",,75,Georg Restle,,,maischberger,,,
3,maischberger am 20.11.2024,2024-11-20,"Sexualisierte Gewalt gegen Frauen: Direkt nach dem ARD-Film “Bis zur Wahrheit”: Im Gespräch die Schauspielerin Maria Furtwängler und die Rechtsanwältin für Familienrecht Christina Clemm. Trump besetzt sein Kabinett: Im Gespräch der US-amerikanische Journalist und Autor Bob Woodward. CDU-Pläne nach Ampel-Aus: Im Studio der ehemalige CDU-Kanzlerkandidat und frühere Ministerpräsident von Nordrhein-Westfalen Armin Laschet. Es kommentieren der Schauspieler Walter Sittler, die Autorin der Neuen Zürcher Zeitung Susanne Gaschke, der Redaktionsleiter des WDR-Politmagazins „Monitor“ Georg Restle.",,75,Maria Furtwängler,,,maischberger,,,
4,maischberger am 20.11.2024,2024-11-20,"Sexualisierte Gewalt gegen Frauen: Direkt nach dem ARD-Film “Bis zur Wahrheit”: Im Gespräch die Schauspielerin Maria Furtwängler und die Rechtsanwältin für Familienrecht Christina Clemm. Trump besetzt sein Kabinett: Im Gespräch der US-amerikanische Journalist und Autor Bob Woodward. CDU-Pläne nach Ampel-Aus: Im Studio der ehemalige CDU-Kanzlerkandidat und frühere Ministerpräsident von Nordrhein-Westfalen Armin Laschet. Es kommentieren der Schauspieler Walter Sittler, die Autorin der Neuen Zürcher Zeitung Susanne Gaschke, der Redaktionsleiter des WDR-Politmagazins „Monitor“ Georg Restle.",,75,Bob Woodward,,,maischberger,,,
5,maischberger am 20.11.2024,2024-11-20,"Sexualisierte Gewalt gegen Frauen: Direkt nach dem ARD-Film “Bis zur Wahrheit”: Im Gespräch die Schauspielerin Maria Furtwängler und die Rechtsanwältin für Familienrecht Christina Clemm. Trump besetzt sein Kabinett: Im Gespräch der US-amerikanische Journalist und Autor Bob Woodward. CDU-Pläne nach Ampel-Aus: Im Studio der ehemalige CDU-Kanzlerkandidat und frühere Ministerpräsident von Nordrhein-Westfalen Armin Laschet. Es kommentieren der Schauspieler Walter Sittler, die Autorin der Neuen Zürcher Zeitung Susanne Gaschke, der Redaktionsleiter des WDR-Politmagazins „Monitor“ Georg Restle.",,75,Armin Laschet,,,maischberger,CDU,,Politik
6,maischberger am 20.11.2024,2024-11-20,"Sexualisierte Gewalt gegen Frauen: Direkt nach dem ARD-Film “Bis zur Wahrheit”: Im Gespräch die Schauspielerin Maria Furtwängler und die Rechtsanwältin für Familienrecht Christina Clemm. Trump besetzt sein Kabinett: Im Gespräch der US-amerikanische Journalist und Autor Bob Woodward. CDU-Pläne nach Ampel-Aus: Im Studio der ehemalige CDU-Kanzlerkandidat und frühere Ministerpräsident von Nordrhein-Westfalen Armin Laschet. Es kommentieren der Schauspieler Walter Sittler, die Autorin der Neuen Zürcher Zeitung Susanne Gaschke, der Redaktionsleiter des WDR-Politmagazins „Monitor“ Georg Restle.",,75,Walter Sittler,,,maischberger,,,
7,maischberger am 30.04.2024,2024-04-30,"FDP provoziert Koalitionspartner: Wollen die Liberalen das Ampel-Aus? Im Gespräch die ehemalige Bundesjustizministerin (FDP). Russland meldet Militärerfolge: Kann die Ukraine standhalten? Im Gespräch die Forschungsgruppenleiterin der Stiftung Wissenschaft und Politik und der Ukraine-Korrespondent der ARD . Es kommentieren: Der Tagesschau-Sprecher , die stellvertretende Leiterin des Hauptstadtbüros des Redaktionsnetzwerks Deutschland und der Journalist und Podcaster .",,75,Kristina Dunz,,,maischberger,,RND,Journalismus
8,maischberger am 30.04.2024,2024-04-30,"FDP provoziert Koalitionspartner: Wollen die Liberalen das Ampel-Aus? Im Gespräch die ehemalige Bundesjustizministerin (FDP). Russland meldet Militärerfolge: Kann die Ukraine standhalten? Im Gespräch die Forschungsgruppenleiterin der Stiftung Wissenschaft und Politik und der Ukraine-Korrespondent der ARD . Es kommentieren: Der Tagesschau-Sprecher , die stellvertretende Leiterin des Hauptstadtbüros des Redaktionsnetzwerks Deutschland und der Journalist und Podcaster .",,75,Vassili Golod,,,maischberger,,ARD,Journalismus
9,maischberger am 30.04.2024,2024-04-30,"FDP provoziert Koalitionspartner: Wollen die Liberalen das Ampel-Aus? Im Gespräch die ehemalige Bundesjustizministerin (FDP). Russland meldet Militärerfolge: Kann die Ukraine standhalten? Im Gespräch die Forschungsgruppenleiterin der Stiftung Wissenschaft und Politik und der Ukraine-Korrespondent der ARD . Es kommentieren: Der Tagesschau-Sprecher , die stellvertretende Leiterin des Hauptstadtbüros des Redaktionsnetzwerks Deutschland und der Journalist und Podcaster .",,75,Sabine Leutheusser Schnarrenberger,,,maischberger,FDP,,Politik
10,maischberger am 30.04.2024,2024-04-30,"FDP provoziert Koalitionspartner: Wollen die Liberalen das Ampel-Aus? Im Gespräch die ehemalige Bundesjustizministerin (FDP). Russland meldet Militärerfolge: Kann die Ukraine standhalten? Im Gespräch die Forschungsgruppenleiterin der Stiftung Wissenschaft und Politik und der Ukraine-Korrespondent der ARD . Es kommentieren: Der Tagesschau-Sprecher , die stellvertretende Leiterin des Hauptstadtbüros des Redaktionsnetzwerks Deutschland und der Journalist und Podcaster .",,75,Tilo Jung,,,maischberger,,,Journalismus
11,maischberger am 30.04.2024,2024-04-30,"FDP provoziert Koalitionspartner: Wollen die Liberalen das Ampel-Aus? Im Gespräch die ehemalige Bundesjustizministerin (FDP). Russland meldet Militärerfolge: Kann die Ukraine standhalten? Im Gespräch die Forschungsgruppenleiterin der Stiftung Wissenschaft und Politik und der Ukraine-Korrespondent der ARD . Es kommentieren: Der Tagesschau-Sprecher , die stellvertretende Leiterin des Hauptstadtbüros des Redaktionsnetzwerks Deutschland und der Journalist und Podcaster .",,75,Claudia Major,,,maischberger,,,Militär
12,maischberger am 30.04.2024,2024-04-30,"FDP provoziert Koalitionspartner: Wollen die Liberalen das Ampel-Aus? Im Gespräch die ehemalige Bundesjustizministerin (FDP). Russland meldet Militärerfolge: Kann die Ukraine standhalten? Im Gespräch die Forschungsgruppenleiterin der Stiftung Wissenschaft und Politik und der Ukraine-Korrespondent der ARD . Es kommentieren: Der Tagesschau-Sprecher , die stellvertretende Leiterin des Hauptstadtbüros des Redaktionsnetzwerks Deutschland und der Journalist und Podcaster .",,75,Constantin Schreiber,,,maischberger,,,
13,maischberger am 20.03.2024,2024-03-20,"Ist der Sozialstaat in Gefahr? Darüber diskutieren der Generalsekretär der SPD und der stellvertretende Fraktionsvorsitzende der CDU Deutschland im Krisenmodus? Im Gespräch der Kabarettist und Satiriker . Es kommentieren die Autorin und Journalistin , die Leiterin des ARD-Studios in Washington und die politische Korrespondentin der „Zeit“ .",,75,Gudrun Engel,,,maischberger,,ARD,Journalismus
14,maischberger am 20.03.2024,2024-03-20,"Ist der Sozialstaat in Gefahr? Darüber diskutieren der Generalsekretär der SPD und der stellvertretende Fraktionsvorsitzende der CDU Deutschland im Krisenmodus? Im Gespräch der Kabarettist und Satiriker . Es kommentieren die Autorin und Journalistin , die Leiterin des ARD-Studios in Washington und die politische Korrespondentin der „Zeit“ .",,75,Amelie Fried,,,maischberger,,,Journalismus
15,maischberger am 20.03.2024,2024-03-20,"Ist der Sozialstaat in Gefahr? Darüber diskutieren der Generalsekretär der SPD und der stellvertretende Fraktionsvorsitzende der CDU Deutschland im Krisenmodus? Im Gespräch der Kabarettist und Satiriker . Es kommentieren die Autorin und Journalistin , die Leiterin des ARD-Studios in Washington und die politische Korrespondentin der „Zeit“ .",,75,Jens Spahn,,,maischberger,CDU,,Politik
16,maischberger am 20.03.2024,2024-03-20,"Ist der Sozialstaat in Gefahr? Darüber diskutieren der Generalsekretär der SPD und der stellvertretende Fraktionsvorsitzende der CDU Deutschland im Krisenmodus? Im Gespräch der Kabarettist und Satiriker . Es kommentieren die Autorin und Journalistin , die Leiterin des ARD-Studios in Washington und die politische Korrespondentin der „Zeit“ .",,75,Dieter Nuhr,,,maischberger,,,Kultur
17,maischberger am 20.03.2024,2024-03-20,"Ist der Sozialstaat in Gefahr? Darüber diskutieren der Generalsekretär der SPD und der stellvertretende Fraktionsvorsitzende der CDU Deutschland im Krisenmodus? Im Gespräch der Kabarettist und Satiriker . Es kommentieren die Autorin und Journalistin , die Leiterin des ARD-Studios in Washington und die politische Korrespondentin der „Zeit“ .",,75,Kevin Kühnert,,,maischberger,SPD,,Politik
