ID,Datum,Talkshow,Name_voll_raw,Name,Funktion,Beschreibung,Partei,Summe,Gruppe
anne-will_280-die-glaubensfrage-gehoert-der-islam-zu-deutschland-678464,2015-01-28,Anne Will,Mehmet Gürcan Daimagüler,Mehmet Gürcan Daimagüler,Gast,"Rechtsanwalt,Autor",keine Partei,1,Wissenschaft
anne-will_280-die-glaubensfrage-gehoert-der-islam-zu-deutschland-678464,2015-01-28,Anne Will,Bassam Tibi,Bassam Tibi,Gast,Islam-Forscher,keine Partei,1,Wissenschaft
anne-will_280-die-glaubensfrage-gehoert-der-islam-zu-deutschland-678464,2015-01-28,Anne Will,Manuela Schwesig,Manuela Schwesig,Gast,"SPD, Bundesministerin für Familie, Senioren, Frauen,Jugend",SPD,1,Politik
anne-will_280-die-glaubensfrage-gehoert-der-islam-zu-deutschland-678464,2015-01-28,Anne Will,Erika Steinbach,Erika Steinbach,Gast,"CDU, Sprecherin für Menschenrechte,humanitäre Hilfe",CDU,1,Politik
anne-will_281-die-machtprobe-tsipras-gegen-das-alte-europa-681035,2015-02-04,Anne Will,Norbert Röttgen,Norbert Röttgen,Gast,"CDU, Vorsitzender des Auswärtigen Ausschusses des Deutschen Bundestags",CDU,1,Politik
anne-will_281-die-machtprobe-tsipras-gegen-das-alte-europa-681035,2015-02-04,Anne Will,Marion von Haaren,Marion von Haaren,Gast,Korrespondentin im ARD-Hauptstadtstudio,keine Partei,1,Medien
anne-will_281-die-machtprobe-tsipras-gegen-das-alte-europa-681035,2015-02-04,Anne Will,Dr. Ralf Stegner,Ralf Stegner,Gast,"SPD, stellvertretender Parteivorsitzender",SPD,1,Politik
anne-will_282-friedensgipfel-fuer-die-ukraine-lenkt-putin-ein-682670,2015-02-11,Anne Will,Peter Altmaier,Peter Altmaier,Gast,"CDU, Chef des Bundeskanzleramts",CDU,1,Politik
anne-will_282-friedensgipfel-fuer-die-ukraine-lenkt-putin-ein-682670,2015-02-11,Anne Will,Ivan Rodionov,Ivan Rodionov,Gast,russischer Journalist,keine Partei,1,Medien
anne-will_282-friedensgipfel-fuer-die-ukraine-lenkt-putin-ein-682670,2015-02-11,Anne Will,Nataliia Fiebrig,Nataliia Fiebrig,Gast,ukrainische Journalistin,keine Partei,1,Medien
anne-will_283-barbarei-als-strategie-sind-wir-dem-islamistischen-terror-hilflos-ausgeliefert-684279,2015-02-18,Anne Will,Georg Mascolo,Georg Mascolo,Gast,"Leiter der Recherchekooperation von NDR, WDR,Süddeutscher Zeitung",keine Partei,1,Medien
anne-will_283-barbarei-als-strategie-sind-wir-dem-islamistischen-terror-hilflos-ausgeliefert-684279,2015-02-18,Anne Will,Jan van Aken,Jan van Aken,Gast,"Die Linke, außenpolitischer Sprecher der Bundestagsfraktion",Linke,1,Politik
anne-will_283-barbarei-als-strategie-sind-wir-dem-islamistischen-terror-hilflos-ausgeliefert-684279,2015-02-18,Anne Will,Prof. Michael Wolffsohn,Michael Wolffsohn,Gast,Historiker,keine Partei,2,Wissenschaft
anne-will_283-barbarei-als-strategie-sind-wir-dem-islamistischen-terror-hilflos-ausgeliefert-684279,2015-02-18,Anne Will,Dr. Sylke Tempel,Sylke Tempel,Gast,Chefredakteurin der Zeitschrift „Internationale Politik“,keine Partei,2,Wissenschaft
anne-will_284-tsipras-verspricht-sparkurs-wer-glaubt-ihm-das-noch-687045,2015-02-25,Anne Will,Wolfgang Bosbach,Wolfgang Bosbach,Gast,"CDU, Vorsitzender des Innenausschusses des Bundestages",CDU,1,Politik
