ID,Datum,Talkshow,Inhalt
maybrit-illner_854-zahlen-sinken-ungeduld-waechst-wie-lang-bleibt-der-laden-noch-dicht-1443530,2021-02-18,Maybrit Illner,"Gäste: Peter Altmaier, Siegfried Russwurm, Claus Ruhe Madsen, Sina Trinkwalder, Dagmar Rosenfeld, Katarina Witt Mit jedem Tag Lockdown rutschen Händler, Unternehmer und Selbstständige tiefer in den Dispo. Sie warten auf die versprochenen Hilfen und darauf, endlich wieder öffnen zu dürfen. Wann soll das möglich sein? Bei einer Inzidenz von 50, von 35 oder erst bei 10? Erst wenn die Zahlen wochenlang unten bleiben? Eine neue Milliarden-Spritze soll beruhigen. Wenn sie denn käme, würde sie die Richtigen retten? Können „Schnelltests für alle“ der entscheidende Türöffner sein? (Text:ZDF)"
anne-will_447-sorge-vor-zweiter-infektionswelle-lockert-deutschland-die-corona-massnahmen-zu-forsch-1370728,2020-04-26,Anne Will,"Seit dieser Woche gelten erste von Bund und Ländern beschlossene Lockerungen der Corona-Maßnahmen. Deren Umsetzung hat Bundeskanzlerin Angela Merkel nun als teilweise „zu forsch“ kritisiert. Während sie vor zu großer Sorglosigkeit und der Gefahr einer zweiten Infektionswelle warnt, diskutieren einige Bundesländer und Wirtschaftsverbände bereits über weitere Lockerungen. Die Opposition kritisiert, dass diese zunehmende Uneinigkeit zu großer Verunsicherung in der Bevölkerung führt. Gehen die Lockerungen zu weit? Gefährdet das uneinheitliche Vorgehen der Länder die Akzeptanz für die Corona-Maßnahmen? Sollte man den Bürgerinnen und Bürgern mehr Eigenverantwortung zugestehen? Zu Gast bei Anne Will: Armin Laschet (CDU, Ministerpräsident von Nordrhein-Westfalen) Annalena Baerbock (Bündnis 90/​Die Grünen, Parteivorsitzende) Christian Lindner (FDP, Parteivorsitzender) Karl Lauterbach (SPD, Mitglied des Deutschen Bundestags, Gesundheitsökonom und Epidemiologe) Christina Berndt (Wissenschaftsredakteurin bei der „Süddeutschen Zeitung“ und Biochemikerin) (Text:ARD)"
maischberger-ard_710-sendung-vom-30-08-2022-1578011,2022-08-30,maischberger,"Teures Gas, teurer Strom, Bürger in Sorge: Die Energiekrise setzt die Ampelkoalition unter Druck. Was kann der Staat tun, damit Energie für viele Verbraucher nicht unbezahlbar wird? Müssen die Sanktionen gegen Russland überdacht werden? Im Studio der ehemalige SPD-Parteivorsitzende und Bundesaußenminister a.D. Sigmar Gabriel. Als herausragender Turmspringer errang er Olympia-Medaillen für Deutschland. Nun erhebt er massive Missbrauchsvorwürfe gegen seinen langjährigen Trainer. Über sexualisierte Gewalt im Schwimmsport und systematisches Vertuschen sprechen der frühere Spitzensportler Jan Hempel und der ARD-Sportjournalist Hajo Seppelt. Es erklären, kommentieren und diskutieren die Journalistin und Autorin Amelie Fried, der Wirtschaftsjournalist und „FAS“-Kolumnist Rainer Hank und die „Zeit“-Journalistin Anna Mayr. Die Gäste: Sigmar Gabriel, SPD (ehemaliger Parteivorsitzender und Bundesaußenminister a.D.) Jan Hempel (ehemaliger Weltklasse-Wasserspringer) Hajo Seppelt (ARD-Sportjournalist) Amelie Fried (Journalistin und Autorin) Rainer Hank („Frankfurter Allgemeine Sonntagszeitung“) Anna Mayr („Die Zeit“) (Text:ARD)"
markus-lanz_1498-folge-1498-1447733,2021-03-02,Markus Lanz,"Elmar Theveßen, Journalist Der ZDF-Amerikakorrespondent informiert über Hintergründe und Reaktionen auf Donald Trumps erste Rede nach seinem Ausscheiden aus dem Weißen Haus und über die Corona-Lage in den USA. Alexander Graf Lambsdorff, Politiker Vor dem Hintergrund der Bund-Länder-Konferenz am Mittwoch erläutert der FDP-Fraktionsvize im Bundestag die Forderungen seiner Partei hinsichtlich einer stufenweisen Öffnungsstrategie. Dr. Petra Bahr, Theologin Die Regionalbischöfin aus Hannover ist Mitglied im Deutschen Ethikrat. Sie äußert sich zur ihren Erwartungen an den Corona-Gipfel und zur Diskussion um eine Änderung der Impfreihenfolge. Simone Lange, Politikerin Die SPD-Politikerin und Oberbürgermeisterin Flensburgs ordnete in ihrer Stadt aufgrund sehr hoher Corona-Zahlen einen knallharten Lockdown an. Sie berichtet über die aktuelle Entwicklung. Prof. Timo Ulrichs, Virologe Er äußert sich zur Entwicklung des Infektionsgeschehens, zu möglichen Spielräumen für Öffnungen, zum neuesten US-Impfstoff sowie zu Strategien anderer Nationen im Kampf gegen die Pandemie. (Text:ZDF)"
maischberger-ard_640-sendung-vom-11-11-2020-1417252,2020-11-11,maischberger,"Nach der Erfolgsmeldung der deutschen Firma Biontech steigt die Hoffnung auf die baldige Zulassung eines Impfstoffes. Zeitgleich spitzt sich die Lage in Deutschland zu: Aufgrund der Zunahme schwerer Krankheitsverläufe sinkt die Zahl freier Intensivbetten rasant. Unter den strengen Coronaregeln leidet vor allem die Kultur. Konzerthallen, Theater, Museen und Kinos müssen geschlossen bleiben. Der Schauspieler Dieter Hallervorden hat gegen die Zwangsschließung seines Theaters geklagt. Er ist zu Gast mit Markus Peichl, der eine schwere Corona-Erkrankung überstanden hat. Nach einem viertägigen Wahlkrimi steht fest: Joe Biden ist zum 46. amerikanischen Präsidenten gewählt worden. Amtsinhaber Donald Trump hat jedoch angekündigt, die Wahl juristisch anzufechten. Hat er eine Erfolgschance mit seinen Klagen? Was bedeutet ein Präsident Biden für die internationale Politik? Fragen an den ehemaligen deutschen Außenminister Sigmar Gabriel. Es diskutieren, kommentieren und erklären der Autor und Moderator Hubertus Meyer-Burckhardt, die US-Expertin Sandra Navidi und die Wissenschaftsredakteurin der „Süddeutschen Zeitung“ Christina Berndt. Die Gäste: Sigmar Gabriel, SPD (ehemaliger Außenminister) Dieter Hallervorden (Schauspieler) Markus Peichl (überstand schwere Corona-Erkrankung) Hubertus Meyer-Burckhardt (TV-Moderator und Autor) Sandra Navidi (US-Expertin und Unternehmensberaterin) Christina Berndt (SZ-Wissenschaftsjournalistin) (Text:ARD)"
markus-lanz_2088-sendung-vom-27-05-2025-1799409,2025-05-27,Markus Lanz,
maischberger-ard_621-sendung-vom-22-04-2020-1374219,2020-04-22,maischberger,"Deutschland diskutiert über Lockerungen der Corona-Maßnahmen. Viele Bürger wünschen sich eine schnelle Rückkehr zur Normalität. Dagegen steht der Rat von Experten, weiter vorsichtig zu bleiben. Bund und Länder folgen weitestgehend dieser Linie – zu Recht? Im Studio ist der bayerische Ministerpräsident und CSU-Vorsitzende Markus Söder. Österreich hat bereits eine Woche früher die Geschäfte geöffnet, allerdings verbunden mit einer Mundschutzpflicht in vielen Bereichen des Lebens. Was können wir von den Nachbarn lernen? Und wie schwierig ist es, sich auf einen einheitlichen europäischen Weg im Kampf gegen das Corona-Virus zu verständigen? Fragen an den österreichischen Bundeskanzler Sebastian Kurz. Der Anstieg der Infektionen in Deutschland verlangsam sich weiter. Haben wir das Schlimmste womöglich bereits hinter uns? Oder droht bei Lockerungen eine zweite Infektionswelle samt Shutdown? Wie können wir das Virus langfristig in den Griff bekommen – mit Masken und Apps? Zu Gast ist Prof. Dr. Dirk Brockmann, Physiker und digitaler Epidemiologe vom Robert-Koch-Institut. Es diskutieren, kommentieren und erklären: die Moderatorin des ARD-Morgenmagazins Anna Planken, der stellvertretende „Welt“-Chefredakteur Robin Alexander und der Publizist Wolfram Weimer. (Text:ARD)"
hart-aber-fair_785-rechtsruck-oder-kurs-der-mitte-soll-deutschland-konservativer-werden-1714087,2024-04-29,hart aber fair,"Direkt nach der Doku „Die Merz-Strategie“: Welcher politische Kurs ist richtig fürs Land – ein konservativer, ein linker oder ein Kurs der Mitte? Braucht Deutschland wirklich eine Leitkultur? Wie mit der AfD umgehen? Sollten andere Parteien mit dem Bündnis Sahra Wagenknecht zusammenarbeiten? Und wer wäre der beste Kanzlerkandidat für die Union? Zu Gast bei Louis Klamroth sind Mario Voigt (CDU): Parteivorsitzender in Thüringen Sahra Wagenknecht (BSW): Vorsitzende Bündnis Sahra Wagenknecht – Vernunft und Gerechtigkeit Philipp Türmer (SPD): Juso-Vorsitzender Enissa Amani: Künstlerin und Aktivistin Robin Alexander: stellvertretender Chefredakteur von Welt und Welt am Sonntag Khola Maryam Hübsch: Journalistin und Publizistin Im Interview: Markus Söder (CSU): Parteivorsitzender und Bayerischer Ministerpräsident (Text:ARD)"
anne-will_539-erschoepft-und-unzufrieden-verliert-die-ampel-beim-klimaschutz-den-rueckhalt-der-bevoelkerung-1642716,2023-06-04,Anne Will,"Die Klimapolitik der Bundesregierung verunsichert die Bevölkerung. Laut aktuellem ARD-DeutschlandTrend von infratest dimap sorgen sich mehr als zwei Drittel der Menschen in Deutschland, dass sie die geplante Heizwende finanziell überfordern werde. Knapp drei Viertel fühlen sich über die Pläne zum klimaschonenden Heizen nicht ausreichend informiert. Womöglich auch deshalb war die Unzufriedenheit mit der Arbeit der Ampel noch nie so hoch. Riskiert die Regierung mit ihrer Politik und ihrer Kommunikation die Bereitschaft der Bevölkerung zum Klimaschutz – auch, weil Teile der Gesellschaft mittlerweile „veränderungserschöpft“ seien, wie der Soziologe Steffen Mau sagt? Kommt die soziale Abfederung bei der Klimapolitik zu kurz? Verlieren die Bürgerinnen und Bürger das Vertrauen in die Koalition? Die Gäste: Katharina Dröge (Bündnis 90/​Die Grünen, Vorsitzende der Bundestagsfraktion) Christian Dürr (FDP, Vorsitzender der Bundestagsfraktion) Philipp Amthor (CDU, Mitglied des Deutschen Bundestages) Steffen Mau (Soziologe an der Humboldt-Universität zu Berlin) Jana Hensel (Autorin und Journalistin „Die Zeit“) (Text:ARD)"
markus-lanz_2078-sendung-vom-01-05-2025-1796689,2025-05-01,Markus Lanz,
maischberger-ard_607-sendung-vom-27-11-2019-1336232,2019-11-27,maischberger,"Vor dem AfD-Parteitag: Kommt es am Wochenende zum Machtkampf zwischen dem radikalen Höcke-Flügel und moderaten Kräften? Das fragt Sandra Maischberger den AfD-Bundesvorsitzenden Jörg Meuthen. Der Ton wird schärfer: Kurz vor Ende der Abstimmung über den SPD-Vorsitz nehmen die gegenseitigen Attacken zu. Wie gefährlich wird der Machtkampf für die GroKo? Schwere Vorwürfe gegen Prinz Andrew: Bringt die Epstein-Affäre die britische Monarchie ins Wanken? Milliardär gegen Milliardär: Hat Michael Bloomberg im US-Wahlkampf eine Chance gegen Donald Trump? Sie erklären, kommentieren und diskutieren: der Focus-Autor Jan Fleischhauer, die Finanzexpertin Sandra Navidi und der Politikwissenschaftler Albrecht von Lucke. (Text:ARD)"
hart-aber-fair_614-frauen-unter-druck-maenner-am-druecker-alles-so-wie-immer-1273361,2019-03-18,hart aber fair,"Die Gäste: Henrike von Platen (Finanzexpertin, Wirtschaftsinformatikerin, Hochschulrätin; Mit-Initiatorin des „Equal Pay Day“ in Deutschland) Collien Ulmen-Fernandes (Schauspielerin und Moderatorin; Autorin des Kinderbuchs „Lotti und Otto: Eine Geschichte über Jungssachen und Mädchenkram“) Rainer Hank (Wirtschaftsredakteur der FAZ) Kristina Schröder (Bundesfamilienministerin von 2009 bis 2013) Stephan Grünewald (Psychologe, Gründer des rheingold-Institutes, Buchautor „Wie tickt Deutschland?“) Im Einzelgespräch: Insa Thiele-Eich (Meteorologin und angehende Astronautin) und Ehemann Daniel Eich (ausgezeichnet als „Spitzenvater des Jahres“) Weniger Gehalt, weniger Führungspositionen – dafür mehr Hausarbeit: Warum verlieren Frauen immer noch gegenüber Männern? Muss der Staat eingreifen: mit Quoten und Gesetzen? Oder reicht etwas weibliche Geduld, weil sich selbst Männer auf Dauer bewegen? (Text:ARD)"
