itemLabel,employeerLabel,date
Anne Hähnig,Die Zeit,2021-06-09T00:00:00Z
Anne Hähnig,Die Zeit,2022-08-18T00:00:00Z
Anne Hähnig,Die Zeit,2023-03-30T00:00:00Z
Anne Hähnig,Die Zeit,2023-07-05T00:00:00Z
Anne Hähnig,Die Zeit,2023-12-07T00:00:00Z
Anne Hähnig,Die Zeit,2024-04-11T00:00:00Z
Anne Hähnig,Die Zeit,2024-08-27T00:00:00Z
Anne Hähnig,Die Zeit,2021-06-09T00:00:00Z
Anne Hähnig,Die Zeit,2022-08-18T00:00:00Z
Anne Hähnig,Die Zeit,2023-03-30T00:00:00Z
Anne Hähnig,Die Zeit,2023-07-05T00:00:00Z
Anne Hähnig,Die Zeit,2023-12-07T00:00:00Z
Anne Hähnig,Die Zeit,2024-04-11T00:00:00Z
Anne Hähnig,Die Zeit,2024-08-27T00:00:00Z
Anne Hähnig,Die Zeit,2021-06-09T00:00:00Z
Anne Hähnig,Die Zeit,2022-08-18T00:00:00Z
Anne Hähnig,Die Zeit,2023-03-30T00:00:00Z
Anne Hähnig,Die Zeit,2023-07-05T00:00:00Z
Anne Hähnig,Die Zeit,2023-12-07T00:00:00Z
Anne Hähnig,Die Zeit,2024-04-11T00:00:00Z
Anne Hähnig,Die Zeit,2024-08-27T00:00:00Z
Anne Hähnig,Die Zeit,2021-06-09T00:00:00Z
Anne Hähnig,Die Zeit,2022-08-18T00:00:00Z
Anne Hähnig,Die Zeit,2023-03-30T00:00:00Z
Anne Hähnig,Die Zeit,2023-07-05T00:00:00Z
Anne Hähnig,Die Zeit,2023-12-07T00:00:00Z
Anne Hähnig,Die Zeit,2024-04-11T00:00:00Z
Anne Hähnig,Die Zeit,2024-08-27T00:00:00Z
Anne Hähnig,Die Zeit,2021-06-09T00:00:00Z
Anne Hähnig,Die Zeit,2022-08-18T00:00:00Z
Anne Hähnig,Die Zeit,2023-03-30T00:00:00Z
Anne Hähnig,Die Zeit,2023-07-05T00:00:00Z
Anne Hähnig,Die Zeit,2023-12-07T00:00:00Z
Anne Hähnig,Die Zeit,2024-04-11T00:00:00Z
Anne Hähnig,Die Zeit,2024-08-27T00:00:00Z
Anne Hähnig,Die Zeit,2021-06-09T00:00:00Z
Anne Hähnig,Die Zeit,2022-08-18T00:00:00Z
Anne Hähnig,Die Zeit,2023-03-30T00:00:00Z
Anne Hähnig,Die Zeit,2023-07-05T00:00:00Z
Anne Hähnig,Die Zeit,2023-12-07T00:00:00Z
Anne Hähnig,Die Zeit,2024-04-11T00:00:00Z
Anne Hähnig,Die Zeit,2024-08-27T00:00:00Z
Anne Hähnig,Die Zeit,2021-06-09T00:00:00Z
Anne Hähnig,Die Zeit,2022-08-18T00:00:00Z
Anne Hähnig,Die Zeit,2023-03-30T00:00:00Z
Anne Hähnig,Die Zeit,2023-07-05T00:00:00Z
Anne Hähnig,Die Zeit,2023-12-07T00:00:00Z
Anne Hähnig,Die Zeit,2024-04-11T00:00:00Z
Anne Hähnig,Die Zeit,2024-08-27T00:00:00Z
Anne Hähnig,Freie Presse,2021-06-09T00:00:00Z
Anne Hähnig,Freie Presse,2022-08-18T00:00:00Z
Anne Hähnig,Freie Presse,2023-03-30T00:00:00Z
Anne Hähnig,Freie Presse,2023-07-05T00:00:00Z
Anne Hähnig,Freie Presse,2023-12-07T00:00:00Z
Anne Hähnig,Freie Presse,2024-04-11T00:00:00Z
Anne Hähnig,Freie Presse,2024-08-27T00:00:00Z
Anne Hähnig,Freie Presse,2021-06-09T00:00:00Z
Anne Hähnig,Freie Presse,2022-08-18T00:00:00Z
Anne Hähnig,Freie Presse,2023-03-30T00:00:00Z
Anne Hähnig,Freie Presse,2023-07-05T00:00:00Z
Anne Hähnig,Freie Presse,2023-12-07T00:00:00Z
Anne Hähnig,Freie Presse,2024-04-11T00:00:00Z
Anne Hähnig,Freie Presse,2024-08-27T00:00:00Z
Anne Hähnig,Freie Presse,2021-06-09T00:00:00Z
Anne Hähnig,Freie Presse,2022-08-18T00:00:00Z
Anne Hähnig,Freie Presse,2023-03-30T00:00:00Z
Anne Hähnig,Freie Presse,2023-07-05T00:00:00Z
Anne Hähnig,Freie Presse,2023-12-07T00:00:00Z
Anne Hähnig,Freie Presse,2024-04-11T00:00:00Z
Anne Hähnig,Freie Presse,2024-08-27T00:00:00Z
Anne Hähnig,Freie Presse,2021-06-09T00:00:00Z
Anne Hähnig,Freie Presse,2022-08-18T00:00:00Z
Anne Hähnig,Freie Presse,2023-03-30T00:00:00Z
Anne Hähnig,Freie Presse,2023-07-05T00:00:00Z
Anne Hähnig,Freie Presse,2023-12-07T00:00:00Z
Anne Hähnig,Freie Presse,2024-04-11T00:00:00Z
Anne Hähnig,Freie Presse,2024-08-27T00:00:00Z
Anne Hähnig,Freie Presse,2021-06-09T00:00:00Z
Anne Hähnig,Freie Presse,2022-08-18T00:00:00Z
Anne Hähnig,Freie Presse,2023-03-30T00:00:00Z
Anne Hähnig,Freie Presse,2023-07-05T00:00:00Z
Anne Hähnig,Freie Presse,2023-12-07T00:00:00Z
Anne Hähnig,Freie Presse,2024-04-11T00:00:00Z
Anne Hähnig,Freie Presse,2024-08-27T00:00:00Z
Anne Hähnig,Freie Presse,2021-06-09T00:00:00Z
Anne Hähnig,Freie Presse,2022-08-18T00:00:00Z
Anne Hähnig,Freie Presse,2023-03-30T00:00:00Z
Anne Hähnig,Freie Presse,2023-07-05T00:00:00Z
Anne Hähnig,Freie Presse,2023-12-07T00:00:00Z
Anne Hähnig,Freie Presse,2024-04-11T00:00:00Z
Anne Hähnig,Freie Presse,2024-08-27T00:00:00Z
Anne Hähnig,Freie Presse,2021-06-09T00:00:00Z
Anne Hähnig,Freie Presse,2022-08-18T00:00:00Z
Anne Hähnig,Freie Presse,2023-03-30T00:00:00Z
Anne Hähnig,Freie Presse,2023-07-05T00:00:00Z
Anne Hähnig,Freie Presse,2023-12-07T00:00:00Z
Anne Hähnig,Freie Presse,2024-04-11T00:00:00Z
Anne Hähnig,Freie Presse,2024-08-27T00:00:00Z
Anne Hähnig,Freie Presse,2021-06-09T00:00:00Z
Anne Hähnig,Freie Presse,2022-08-18T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2019-10-30T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2020-01-09T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2020-02-19T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2020-05-20T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2020-07-01T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2020-09-16T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2021-01-05T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2019-10-30T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2020-01-09T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2020-02-19T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2020-05-20T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2020-07-01T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2020-09-16T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2021-01-05T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2019-10-30T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2020-01-09T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2020-02-19T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2020-05-20T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2020-07-01T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2020-09-16T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2021-01-05T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2019-10-30T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2020-01-09T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2020-02-19T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2020-05-20T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2020-07-01T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2020-09-16T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2021-01-05T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2019-10-30T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2020-01-09T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2020-02-19T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2020-05-20T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2020-07-01T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2020-09-16T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2021-01-05T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2019-10-30T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2020-01-09T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2020-02-19T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2020-05-20T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2020-07-01T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2020-09-16T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2021-01-05T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2019-10-30T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2020-01-09T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2020-02-19T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2020-05-20T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2020-07-01T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2020-09-16T00:00:00Z
Cerstin Gammelin,Süddeutsche Zeitung,2021-01-05T00:00:00Z
Can Dündar,Hürriyet,2018-06-26T00:00:00Z
Can Dündar,Hürriyet,2018-06-26T00:00:00Z
Can Dündar,Cumhuriyet,2018-06-26T00:00:00Z
Claus Hecking,Die Zeit,2017-03-14T00:00:00Z
Claudia Kade,Financial Times Deutschland,2019-12-03T00:00:00Z
Claudia Kade,Financial Times Deutschland,2020-01-16T00:00:00Z
Claudia Kade,Financial Times Deutschland,2020-02-13T00:00:00Z
Claudia Kade,Financial Times Deutschland,2020-05-12T00:00:00Z
Claudia Kade,Financial Times Deutschland,2020-09-17T00:00:00Z
Claudia Kade,Financial Times Deutschland,2021-01-05T00:00:00Z
Claudia Kade,Financial Times Deutschland,2021-11-09T00:00:00Z
Claudia Kade,Financial Times Deutschland,2022-02-08T00:00:00Z
Claudia Kade,Financial Times Deutschland,2022-02-25T00:00:00Z
Claudia Kade,Financial Times Deutschland,2022-04-27T00:00:00Z
