itemLabel,partyLabel,date
Alexander Graf Lambsdorff,Freie Demokratische Partei,2020-02-12T00:00:00Z
Alexander Graf Lambsdorff,Freie Demokratische Partei,2020-04-30T00:00:00Z
Alexander Graf Lambsdorff,Freie Demokratische Partei,2021-11-16T00:00:00Z
Alexander Graf Lambsdorff,Freie Demokratische Partei,2022-08-30T00:00:00Z
Alexander Graf Lambsdorff,Freie Demokratische Partei,2020-02-12T00:00:00Z
Alexander Graf Lambsdorff,Freie Demokratische Partei,2020-04-30T00:00:00Z
Alexander Graf Lambsdorff,Freie Demokratische Partei,2021-11-16T00:00:00Z
Alexander Graf Lambsdorff,Freie Demokratische Partei,2022-08-30T00:00:00Z
Alexander Graf Lambsdorff,Freie Demokratische Partei,2020-02-12T00:00:00Z
Alexander Graf Lambsdorff,Freie Demokratische Partei,2020-04-30T00:00:00Z
Alexander Graf Lambsdorff,Freie Demokratische Partei,2021-11-16T00:00:00Z
Alexander Graf Lambsdorff,Freie Demokratische Partei,2022-08-30T00:00:00Z
Alexander Graf Lambsdorff,Freie Demokratische Partei,2020-02-12T00:00:00Z
Alexander Graf Lambsdorff,Freie Demokratische Partei,2020-04-30T00:00:00Z
Alexander Graf Lambsdorff,Freie Demokratische Partei,2021-11-16T00:00:00Z
Alexander Graf Lambsdorff,Freie Demokratische Partei,2022-08-30T00:00:00Z
Aiman Mazyek,Freie Demokratische Partei,2016-01-12T00:00:00Z
Agnes Strack-Zimmermann,Freie Demokratische Partei,2021-06-09T00:00:00Z
Agnes Strack-Zimmermann,Freie Demokratische Partei,2021-08-26T00:00:00Z
Agnes Strack-Zimmermann,Freie Demokratische Partei,2021-09-28T00:00:00Z
Agnes Strack-Zimmermann,Freie Demokratische Partei,2021-10-20T00:00:00Z
Agnes Strack-Zimmermann,Freie Demokratische Partei,2022-02-03T00:00:00Z
Agnes Strack-Zimmermann,Freie Demokratische Partei,2022-03-08T00:00:00Z
Agnes Strack-Zimmermann,Freie Demokratische Partei,2022-04-19T00:00:00Z
Agnes Strack-Zimmermann,Freie Demokratische Partei,2022-06-02T00:00:00Z
Agnes Strack-Zimmermann,Freie Demokratische Partei,2022-08-17T00:00:00Z
Agnes Strack-Zimmermann,Freie Demokratische Partei,2022-09-27T00:00:00Z
Agnes Strack-Zimmermann,Freie Demokratische Partei,2022-11-08T00:00:00Z
Agnes Strack-Zimmermann,Freie Demokratische Partei,2022-12-15T00:00:00Z
Agnes Strack-Zimmermann,Freie Demokratische Partei,2023-01-17T00:00:00Z
Agnes Strack-Zimmermann,Freie Demokratische Partei,2024-06-26T00:00:00Z
Agnes Strack-Zimmermann,Freie Demokratische Partei,2021-06-09T00:00:00Z
Agnes Strack-Zimmermann,Freie Demokratische Partei,2021-08-26T00:00:00Z
Agnes Strack-Zimmermann,Freie Demokratische Partei,2021-09-28T00:00:00Z
Agnes Strack-Zimmermann,Freie Demokratische Partei,2021-10-20T00:00:00Z
Agnes Strack-Zimmermann,Freie Demokratische Partei,2022-02-03T00:00:00Z
Agnes Strack-Zimmermann,Freie Demokratische Partei,2022-03-08T00:00:00Z
Agnes Strack-Zimmermann,Freie Demokratische Partei,2022-04-19T00:00:00Z
Agnes Strack-Zimmermann,Freie Demokratische Partei,2022-06-02T00:00:00Z
Agnes Strack-Zimmermann,Freie Demokratische Partei,2022-08-17T00:00:00Z
