Sendungstitel,season,Staffel,Folge,FolgenNr,Publikationsdatum,Dauer,Infos,Gast_1,Gast_2,Gast_3,Gast_4,Gast_5,Gast_6,Gast_7,Gast_8,Gast_9,Gast_10,Gast_11,Gast_12,Gast_13,Gast_14,Gast_15,Gast_16,Gast_17,Gast_18,Gast_19,Gast_20,Gast_21,instance_of,part_of_series,genre,presenter,original_broadcaster,country_of_origin,original_language_of_film_or_TV_show
Markus Lanz 03.06.2008,"Markus Lanz, Staffel 1",,,,03.06.2008,069'26,"00:01:48 - 01:11:14 069'26 Interview Markus LANZ mit Verona POOTH (Werbeikone) über die Insolvenzaffäre von ihrem Ehemann Franjo Pooth; weitere Studiogäste sind Jelena WAHLER (Gründerin Elitekindergarten ""Little Giants"") und ihr Ehemann Peter WAHLER, Udo BAUCH (Überlebender vom ICE-Unglück in Eschede) und seine Ehefrau Monika BAUCH und Georg PIEPER (Traumaexperte) (O-Ton).",Interview Markus LANZ,Verona POOTH,,,,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 04.06.2008,"Markus Lanz, Staffel 1",,,,04.06.2008,059'25,"23:17:10 - 00:16:35 059'25 Interview Markus LANZ mit den Studiogästen Horst LICHTER (Fernsehkoch), Margret LICHTER (Mutter von Horst Lichter), Michael BAUER (Hoteltester) und Steffen MÖLLER (Moderator, Autor und Schauspieler) (O-Ton).",Horst LICHTER,Margret LICHTER,Michael BAUER,Steffen MÖLLER,,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 05.06.2008,"Markus Lanz, Staffel 1",,,,05.06.2008,059'37,"23:16:15 - 00:15:52 059'37 Interview Markus LANZ mit den Studiogästen Ralf MÖLLER (Schauspieler), Rüdiger NEHBERG (Abenteurer) und Anka KRÄMER DE HUERTA (Ethnologin) und Michael SCHRECKENBERG (Stauexperte) (O-Ton); SCHRECKENBERG erklärt im Studio anhand von Modellautos das Nagel-Schreckenberg-Modell; LANZ zieht Tarnanzug von Soldaten an.",Ralf MÖLLER,Rüdiger NEHBERG,Anka KRÄMER,Michael SCHRECKENBERG,,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 10.06.2008,"Markus Lanz, Staffel 1",,,,10.06.2008,062'18,"00:01:40 - 01:03:58 062'18 Interview Markus LANZ mit den Studiogästen Michael OPOCZYNSKI (ZDF-Wirtschaftsexperte), Jürgen ABRAHAM (Bundesverband Deutsche Ernährungsindustrie), Bettina MARTIN (Rückwanderin), Oliver BAUMGART (baldiger Auswanderer), Daniela EDLER (Rückwanderin), Hasso SPODE (Soziologe), Michaela VAN DER COELEN (Mutter der 2-jährigen Lilli, die eine Herztransplantation bekam), Tanja WARKENTIN (lebt mit Spenderherz) und Jürgen BAUER (Kinderkardiologe) (O-Ton).",Michael OPOCZYNSKI,Jürgen ABRAHAM,Bettina MARTIN,Oliver BAUMGART,Daniela EDLER,Hasso SPODE,Michaela VAN,Tanja WARKENTIN,Jürgen BAUER,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 18.06.2008,"Markus Lanz, Staffel 1",,,,18.06.2008,060'28,"23:47:56 - 00:48:24 060'28 Interview Markus LANZ mit den Studiogästen Ingolf LÜCK (Comedian), Florian SCHROEDER (Comedian), Johannes ETTMAYER (ehem. Nationalspieler Österreich), Udo RÖBEL (Reporter), Ines FALK (Geisel Geiseldrama Gladbeck) und Martin THOMAS (Mitglied des Untersuchungsausschusses im Gladbecker Geiseldrama) (O-Ton).",Ingolf LÜCK,Florian SCHROEDER,Johannes ETTMAYER,Udo RÖBEL,Ines FALK,Martin THOMAS,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 19.06.2008,"Markus Lanz, Staffel 1",,,,19.06.2008,061'18,"23:41:28 - 00:42:46 061'18 Interview Markus LANZ mit den Studiogästen Johann LAFER (Starkoch), Irmgard LAFER (Mutter), Jennifer LAFER (Tochter), Manuel WEISBROD (betreibt Internet-Schülernetzwerk ""spickmich.de""), Bernd SAUR (Gymnasiallehrer), Frederic STROHM (Schüler), Mario BASLER (ehem. Fußballspieler), Corny LITTMANN (Präs. FC St. Pauli ) und Marcus URBAN (ehem. Fußballspieler) (O-Ton).",Johann LAFER,Irmgard LAFER,Jennifer LAFER,Manuel WEISBROD,Bernd SAUR,Frederic STROHM,Mario BASLER,Corny LITTMANN,Marcus URBAN,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 24.06.2008,"Markus Lanz, Staffel 1",,,,24.06.2008,063'28,"22:47:41 - 23:51:09 063'28 Interview Markus LANZ mit den Studiogästen Lothar BINDING (Initiator vom Nichtraucherschutzgesetz, SPD-Bundestagsabgeordneter), Sabine SCHMIDT (Inhaberin einer Berliner Kneipe), Patrik FICHTE (Schauspieler), Eckart LAACK (Lungenspezialist), Undine SCHULZ (Gründerin Selbsthilfegruppe für Eltern von straffälligen Jugendlichen), Lioba BAVING (Leiterin Klinik für Kinder- und Jugendpsychiatrie in Kiel), Baron Josef KERCKERINCK ZUR BORG (Hai-Schützer) und Folkart SCHWEIZER (wurde von Hai gebissen) (O-Ton).",Lothar BINDING,Sabine SCHMIDT,Patrik FICHTE,Eckart LAACK,Undine SCHULZ,Lioba BAVING,Baron Josef KERCKERINCK,Folkart SCHWEIZER,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 26.06.2008,"Markus Lanz, Staffel 1",,,,26.06.2008,059'35,"23:49:08 - 00:48:43 059'35 Interview Markus LANZ mit den Studiogästen Sascha GOLDBERG (Schüler, überlebte knapp ein ""Komasaufen""), Doris KATZMAIER (Mutter von Sascha), Sabine BÄTZING (Drogenbeauftragte der Bundesregierung), Oliver BILKE (Facharzt für Kinder- und Jugendpsychiatrie), Philipp BECKER (Nachwuchsmagier), Winfried JUNGE und Barbara JUNGE (Regisseur Langzeitdokumentation ""Die Kinder von Golzow""), Marie Luise SEIDEL (Kind aus Golzow) und Marja NEUDEL (Tochter von Seidel) (O-Ton); BECKER führt magische Tricks in Sendung vor.",,,,,,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 01.07.2008,"Markus Lanz, Staffel 1",,,,01.07.2008,063'02,"23:03:19 - 00:06:21 063'02 Interview Markus LANZ mit den Studiogästen Jörg PILAWA (Moderator), Pater KARL (Josef WALLNER), Frater MARTIN (Michael KRUTZLER), Eric GABRIEL (erlitt mit 11 Jahren einen Schlaganfall), Marion GABRIEL (Mutter von Eric) und Matthias SPRANGER (Facharzt für Neurologie) (O-Ton).",Jörg PILAWA,Pater KARL,Frater MARTIN,Eric GABRIEL,Marion GABRIEL,Matthias SPRANGER,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 03.07.2008,"Markus Lanz, Staffel 1",,,,03.07.2008,062'47,"00:06:14 - 01:09:01 062'47 Interview Markus LANZ mit den Studiogästen Kim FISHER (Moderatorin, Musikerin und Autorin), Karin MÜLLER (Verkehrspsychologin), Felicitas SCHIROW (ließ sich künstlich befruchten), Heribert KENTENICH (Reproduktionsmediziner), Giovanni MAIO (Professor für Bioethik) und Alexander HERRMANN (Sternekoch) (O-Ton).",Kim FISHER,Karin MÜLLER,Felicitas SCHIROW,Heribert KENTENICH,Giovanni MAIO,Alexander HERRMANN,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
