Sendungstitel,FolgenNr,Staffel,Folge,Datum,Dauer,Sendezeit,Gästesubstr,Gast_1,Beschreibung_1,Gast_2,Beschreibung_2,Gast_3,Beschreibung_3,Gast_4,Beschreibung_4,Gast_5,Beschreibung_5,Gast_6,Beschreibung_6,Gast_7,Beschreibung_7,Gast_8,Beschreibung_8,Gast_9,Beschreibung_9,Gast_10,Beschreibung_10,Gast_11,Beschreibung_11,Gast_12,Beschreibung_12,Gast_13,Beschreibung_13,Gast_14,Beschreibung_14,Gast_15,Beschreibung_15,Gast_16,Beschreibung_16,Gast_17,Beschreibung_17,Gast_18,Beschreibung_18,Gast_19,Beschreibung_19,Gast_20,Beschreibung_20,Gast_21,Beschreibung_21
 Markus Lanz 03.06.2008,,,,03.06.2008,069'26,00:01:48 - 01:11:14, 00:01:48 - 01:11:14 069'26 Interview Markus LANZ mit Verona POOTH (Werbeikone) ,Interview Markus LANZ,Werbeikone,Verona POOTH,Werbeikone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 04.06.2008,,,,04.06.2008,059'25,23:17:10 - 00:16:35," 23:17:10 - 00:16:35 059'25 Interview Markus LANZ mit den Studiogästen Horst LICHTER (Fernsehkoch), Margret LICHTER (Mutter von Horst Lichter), Michael BAUER (Hoteltester) und Steffen MÖLLER (Moderator, Autor und Schauspieler) (O-Ton). ",Horst LICHTER,Fernsehkoch,Margret LICHTER,Mutter von Horst Lichter,Michael BAUER,Hoteltester,Steffen MÖLLER,"Moderator, Autor und Schauspieler",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 05.06.2008,,,,05.06.2008,059'37,23:16:15 - 00:15:52," 23:16:15 - 00:15:52 059'37 Interview Markus LANZ mit den Studiogästen Ralf MÖLLER (Schauspieler), Rüdiger NEHBERG (Abenteurer) und Anka KRÄMER DE HUERTA (Ethnologin) und Michael SCHRECKENBERG (Stauexperte) (O-Ton)",Ralf MÖLLER,Schauspieler,Rüdiger NEHBERG,Abenteurer,Anka KRÄMER,Ethnologin,Michael SCHRECKENBERG,Stauexperte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 10.06.2008,,,,10.06.2008,062'18,00:01:40 - 01:03:58," 00:01:40 - 01:03:58 062'18 Interview Markus LANZ mit den Studiogästen Michael OPOCZYNSKI (ZDF-Wirtschaftsexperte), Jürgen ABRAHAM (Bundesverband Deutsche Ernährungsindustrie), Bettina MARTIN (Rückwanderin), Oliver BAUMGART (baldiger Auswanderer), Daniela EDLER (Rückwanderin), Hasso SPODE (Soziologe), Michaela VAN DER COELEN (Mutter der 2-jährigen Lilli, die eine Herztransplantation bekam), Tanja WARKENTIN (lebt mit Spenderherz) und Jürgen BAUER (Kinderkardiologe) (O-Ton). ",Michael OPOCZYNSKI,ZDF-Wirtschaftsexperte,Jürgen ABRAHAM,Bundesverband Deutsche Ernährungsindustrie,Bettina MARTIN,Rückwanderin,Oliver BAUMGART,baldiger Auswanderer,Daniela EDLER,Rückwanderin,Hasso SPODE,Soziologe,Michaela VAN,"Mutter der 2-jährigen Lilli, die eine Herztransplantation bekam",Tanja WARKENTIN,lebt mit Spenderherz,Jürgen BAUER,Kinderkardiologe,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 18.06.2008,,,,18.06.2008,060'28,23:47:56 - 00:48:24," 23:47:56 - 00:48:24 060'28 Interview Markus LANZ mit den Studiogästen Ingolf LÜCK (Comedian), Florian SCHROEDER (Comedian), Johannes ETTMAYER (ehem. Nationalspieler Österreich), Udo RÖBEL (Reporter), Ines FALK (Geisel Geiseldrama Gladbeck) und Martin THOMAS (Mitglied des Untersuchungsausschusses im Gladbecker Geiseldrama) (O-Ton). ",Ingolf LÜCK,Comedian,Florian SCHROEDER,Comedian,Johannes ETTMAYER,ehem. Nationalspieler Österreich,Udo RÖBEL,Reporter,Ines FALK,Geisel Geiseldrama Gladbeck,Martin THOMAS,Mitglied des Untersuchungsausschusses im Gladbecker Geiseldrama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 19.06.2008,,,,19.06.2008,061'18,23:41:28 - 00:42:46," 23:41:28 - 00:42:46 061'18 Interview Markus LANZ mit den Studiogästen Johann LAFER (Starkoch), Irmgard LAFER (Mutter), Jennifer LAFER (Tochter), Manuel WEISBROD (betreibt Internet-Schülernetzwerk ""spickmich.de""), Bernd SAUR (Gymnasiallehrer), Frederic STROHM (Schüler), Mario BASLER (ehem. Fußballspieler), Corny LITTMANN (Präs. FC St. Pauli ) und Marcus URBAN (ehem. Fußballspieler) (O-Ton). ",Johann LAFER,Starkoch,Irmgard LAFER,Mutter,Jennifer LAFER,Tochter,Manuel WEISBROD,"betreibt Internet-Schülernetzwerk ""spickmich.de""",Bernd SAUR,Gymnasiallehrer,Frederic STROHM,Schüler,Mario BASLER,ehem. Fußballspieler,Corny LITTMANN,Präs. FC St. Pauli,Marcus URBAN,ehem. Fußballspieler,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 24.06.2008,,,,24.06.2008,063'28,22:47:41 - 23:51:09," 22:47:41 - 23:51:09 063'28 Interview Markus LANZ mit den Studiogästen Lothar BINDING (Initiator vom Nichtraucherschutzgesetz, SPD-Bundestagsabgeordneter), Sabine SCHMIDT (Inhaberin einer Berliner Kneipe), Patrik FICHTE (Schauspieler), Eckart LAACK (Lungenspezialist), Undine SCHULZ (Gründerin Selbsthilfegruppe für Eltern von straffälligen Jugendlichen), Lioba BAVING (Leiterin Klinik für Kinder- und Jugendpsychiatrie in Kiel), Baron Josef KERCKERINCK ZUR BORG (Hai-Schützer) und Folkart SCHWEIZER (wurde von Hai gebissen) (O-Ton). ",Lothar BINDING,"Initiator vom Nichtraucherschutzgesetz, SPD-Bundestagsabgeordneter",Sabine SCHMIDT,Inhaberin einer Berliner Kneipe,Patrik FICHTE,Schauspieler,Eckart LAACK,Lungenspezialist,Undine SCHULZ,Gründerin Selbsthilfegruppe für Eltern von straffälligen Jugendlichen,Lioba BAVING,Leiterin Klinik für Kinder- und Jugendpsychiatrie in Kiel,Baron Josef KERCKERINCK,Hai-Schützer,Folkart SCHWEIZER,wurde von Hai gebissen,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 26.06.2008,,,,26.06.2008,059'35,23:49:08 - 00:48:43," 23:49:08 - 00:48:43 059'35 Interview Markus LANZ mit den Studiogästen Sascha GOLDBERG (Schüler, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 01.07.2008,,,,01.07.2008,063'02,23:03:19 - 00:06:21," 23:03:19 - 00:06:21 063'02 Interview Markus LANZ mit den Studiogästen Jörg PILAWA (Moderator), Pater KARL (Josef WALLNER), Frater MARTIN (Michael KRUTZLER), Eric GABRIEL (erlitt mit 11 Jahren einen Schlaganfall), Marion GABRIEL (Mutter von Eric) und Matthias SPRANGER (Facharzt für Neurologie) (O-Ton). ",Jörg PILAWA,Moderator,Pater KARL,Josef WALLNER,Frater MARTIN,Michael KRUTZLER,Eric GABRIEL,erlitt mit 11 Jahren einen Schlaganfall,Marion GABRIEL,Mutter von Eric,Matthias SPRANGER,Facharzt für Neurologie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 03.07.2008,,,,03.07.2008,062'47,00:06:14 - 01:09:01," 00:06:14 - 01:09:01 062'47 Interview Markus LANZ mit den Studiogästen Kim FISHER (Moderatorin, Musikerin und Autorin), Karin MÜLLER (Verkehrspsychologin), Felicitas SCHIROW (ließ sich künstlich befruchten), Heribert KENTENICH (Reproduktionsmediziner), Giovanni MAIO (Professor für Bioethik) und Alexander HERRMANN (Sternekoch) (O-Ton). ",Kim FISHER,"Moderatorin, Musikerin und Autorin",Karin MÜLLER,Verkehrspsychologin,Felicitas SCHIROW,ließ sich künstlich befruchten,Heribert KENTENICH,Reproduktionsmediziner,Giovanni MAIO,Professor für Bioethik,Alexander HERRMANN,Sternekoch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 08.07.2008,,,,08.07.2008,060'55,22:46:42 - 23:47:37," 22:46:42 - 23:47:37 060'55 Interview Markus LANZ mit den Studiogästen Peter HAHNE (Journalist), Barbara SCHUBERT (Ärztin), Nicola BARDOLA (Literaturkritiker), Lothar HINTZE (ehem. Gefangener der Farc) und Rosy HINTZE (Ehefrau) (O-Ton). ",Peter HAHNE,Journalist,Barbara SCHUBERT,Ärztin,Nicola BARDOLA,Literaturkritiker,Lothar HINTZE,ehem. Gefangener der Farc,Rosy HINTZE,Ehefrau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 10.07.2008,,,,10.07.2008,060'20,23:24:13 - 00:24:33," 23:24:13 - 00:24:33 060'20 Interview Markus LANZ mit den Studiogästen Paul KUHN (Musiker), Mario BARTH (Comedian), Volker STEINKRAUS (Arzt), Dagmar ELSHOLZ (litt an Hautkrebs) und Inge WOLFF (Expertin für Etikette und Umgangsformen) (O-Ton). ",Paul KUHN,Musiker,Mario BARTH,Comedian,Volker STEINKRAUS,Arzt,Dagmar ELSHOLZ,litt an Hautkrebs,Inge WOLFF,Expertin für Etikette und Umgangsformen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 15.07.2008,,,,15.07.2008,062'49,22:44:36 - 23:47:25," 22:44:36 - 23:47:25 062'49 Interview Markus LANZ mit den Studiogästen Reinhold MESSNER (Extremsportler), Michael EPP (Teilnehmer an Berglauf auf Zugspitze), Oliver GEISSELHART (Mentaltrainer), Henning SCHEICH (Neurobiologe) und Giti RAUCH (Besitzerin von Kater, der mit der Post verschickt wurde) (O-Ton). ",Reinhold MESSNER,Extremsportler,Michael EPP,Teilnehmer an Berglauf auf Zugspitze,Oliver GEISSELHART,Mentaltrainer,Henning SCHEICH,Neurobiologe,Giti RAUCH,"Besitzerin von Kater, der mit der Post verschickt wurde",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
