Sendungstitel,FolgenNr,Staffel,Folge,Datum,Dauer,Sendezeit,Gästesubstr,Gast_1,Beschreibung_1,Gast_2,Beschreibung_2,Gast_3,Beschreibung_3,Gast_4,Beschreibung_4,Gast_5,Beschreibung_5,Gast_6,Beschreibung_6,Gast_7,Beschreibung_7,Gast_8,Beschreibung_8
 Markus Lanz 12.01.2011,,,,12.01.2011,065'26,23:18:02 - 00:23:28," 23:18:02 - 00:23:28 065'26 Interview Markus LANZ mit den Studiogästen Joe BAUSCH (Gefängnisarzt), Gisela FRIEDRICHSEN (Gerichtsreporterin), Michael TSOKOS (Gerichtsmediziner), Günther KAUFMANN (Schauspieler, unschuldig im Gefängnis), Anna Maria ZIMMERMANN (Sängerin) und ihrer Mutter Anne ZIMMERMANN, ",Joe BAUSCH,Gefängnisarzt,Gisela FRIEDRICHSEN,Gerichtsreporterin,Michael TSOKOS,Gerichtsmediziner,Günther KAUFMANN,"Schauspieler, unschuldig im Gefängnis",Anna Maria ZIMMERMANN,Sängerin,,,,,,
 Markus Lanz 13.01.2011,,,,13.01.2011,066'52,23:18:51 - 00:25:43," 23:18:51 - 00:25:43 066'52 Interview Markus LANZ mit den Studiogästen Siegfried RAUCH (Schauspieler), Sonya KRAUS (Moderatorin), Kaya YANAR (Comedian), Notker WOLF (Abtprimas der Benediktiner), ",Siegfried RAUCH,Schauspieler,Sonya KRAUS,Moderatorin,Kaya YANAR,Comedian,Notker WOLF,Abtprimas der Benediktiner,,,,,,,,
 Markus Lanz 18.01.2011,,,,18.01.2011,076'52,23:01:43 - 00:18:35," 23:01:43 - 00:18:35 076'52 Interview Markus LANZ mit den Studiogästen Ingrid VAN BERGEN (Schauspielerin), Carlo VON TIEDEMANN (Moderator), Peter BARTELS (Boulevard-Journalist, ehem. Chefredakteur BILD-Zeitung), Andrea MOHR (Autorin), ",Ingrid VAN,Schauspielerin,Carlo VON,Moderator,Peter BARTELS,"Boulevard-Journalist, ehem. Chefredakteur BILD-Zeitung",Andrea MOHR,Autorin,,,,,,,,
 Markus Lanz 19.01.2011,,,,19.01.2011,065'59,23:15:10 - 00:21:09," 23:15:10 - 00:21:09 065'59 Interview Markus LANZ mit dern Studiogästen Costa CORDALIS (Sänger), Harry WIJNVOORD (Moderator), Christian LÜDKE (Psychotherapeut), Maite KELLY (Moderatorin), Frank ROSIN (Koch), Stefan SCHMIDT (Pianist), Matthias ""Matze"" HELDT (ehem. Obdachloser, Teilnehmer bei ""Straßenchor""), ",Costa CORDALIS,Sänger,Harry WIJNVOORD,Moderator,Christian LÜDKE,Psychotherapeut,Maite KELLY,Moderatorin,Frank ROSIN,Koch,Stefan SCHMIDT,Pianist,,,,
 Markus Lanz 20.01.2011,,,,20.01.2011,044'53,23:20:01 - 00:04:54," 23:20:01 - 00:04:54 044'53 Diskussion Markus LANZ mit den Studiogästen Ross ANTONY (Sänger), Michael KNEISSLER (Autor und Journalist), Jörg KNÖR (Entertainer), Hans MEISER (Moderator), ",Ross ANTONY,Sänger,Michael KNEISSLER,Autor und Journalist,Jörg KNÖR,Entertainer,Hans MEISER,Moderator,,,,,,,,
 Markus Lanz 25.01.2011,,,,25.01.2011,074'59,00:01:00 - 01:15:59," 00:01:00 - 01:15:59 074'59 Interview Markus LANZ mit den Studiogästen Ingo APPELT (Comedian), Christine LUGNER (Mausi LUGNER) (Dschungelcamp-Teilnehmerin, Moderatorin), Hans Werner OLM (Comedian), Arnulf RATING (Kabarettist), Anka ZINK (Kabarettistin), Kay RAY (Entertainer), ",Ingo APPELT,Comedian,Christine LUGNER,Mausi LUGNER,Hans Werner OLM,Comedian,Arnulf RATING,Kabarettist,Anka ZINK,Kabarettistin,Kay RAY,Entertainer,,,,
 Markus Lanz 26.01.2011,,,,26.01.2011,066'55,23:15:57 - 00:22:52," 23:15:57 - 00:22:52 066'55 Interview Markus LANZ mit den Studiogästen Maximilian SCHELL (Schauspieler), Giulia SIEGEL (Model, Schauspielerin und Dschungelcamp-Teilnehmerin), Bastian SICK (Autor), Barbara PACHL-EBERHART (Autorin), ",Maximilian SCHELL,Schauspieler,Giulia SIEGEL,"Model, Schauspielerin und Dschungelcamp-Teilnehmerin",Bastian SICK,Autor,Barbara PACHL-EBERHART,Autorin,,,,,,,,
 Markus Lanz 27.01.2011,,,,27.01.2011,066'37,23:20:13 - 00:26:50," 23:20:13 - 00:26:50 066'37 Interview Markus LANZ mit den Studiogästen Joachim FUCHSBERGER (Schauspieler und Moderator), Franz Josef WAGNER (Boulevard-Journalist BILD-Zeitung), Gundis ZAMBO, (Moderatorin, Teilnehmerin bei RTL-Sendung ""Dschungelcamp""), Eveline HALL (mit 65 Jahren ältestes Model von Deutschland), ",Joachim FUCHSBERGER,Schauspieler und Moderator,Franz Josef WAGNER,Boulevard-Journalist BILD-Zeitung,Gundis ZAMBO,"Moderatorin, Teilnehmerin bei RTL-Sendung ""Dschungelcamp""",Eveline HALL,mit 65 Jahren ältestes Model von Deutschland,,,,,,,,
 Markus Lanz 01.02.2011,,,,01.02.2011,076'52,22:46:41 - 00:03:33," 22:46:41 - 00:03:33 076'52 Interview und Diskussion Markus LANZ mit den Studiogästen Til SCHWEIGER (Schauspieler), Jasmin GERAT (Schauspielerin), Armin ROHDE (Schauspieler), Immo VON SCHNURBEIN (ehem. Kommandant Segelschulschiff ""Gorch Fock""), Christian LÜDKE (Psychotherapeut, Kriminalpsychologe), Anja WILLE (verlor 2004 ihren Sohn Felix durch ein Gewaltverbrechen), ",Til SCHWEIGER,Schauspieler,Jasmin GERAT,Schauspielerin,Armin ROHDE,Schauspieler,Immo VON,"ehem. Kommandant Segelschulschiff ""Gorch Fock""",Christian LÜDKE,"Psychotherapeut, Kriminalpsychologe",Anja WILLE,verlor 2004 ihren Sohn Felix durch ein Gewaltverbrechen,,,,
 Markus Lanz 02.02.2011,,,,02.02.2011,065'30,23:27:38 - 00:33:08," 23:27:38 - 00:33:08 065'30 Interview Markus LANZ mit den Studiogästen Atze SCHRÖDER (Comedian), Jens WESTERBECK (Autor), Achim MENTZEL (Entertainer), Oliver KALKOFE (Satiriker), Regina HAMZA (Tierpflegerin, mit den beiden Löwen Nero und Niza im Studio), Michael BÖER (Fachtierarzt für Wildtiere), ",Atze SCHRÖDER,Comedian,Jens WESTERBECK,Autor,Achim MENTZEL,Entertainer,Oliver KALKOFE,Satiriker,Regina HAMZA,"Tierpflegerin, mit den beiden Löwen Nero und Niza im Studio",Michael BÖER,Fachtierarzt für Wildtiere,,,,
