Sendungstitel,FolgenNr,Staffel,Folge,Datum,Dauer,Sendezeit,Gästesubstr,Gast_1,Beschreibung_1,Gast_2,Beschreibung_2,Gast_3,Beschreibung_3,Gast_4,Beschreibung_4,Gast_5,Beschreibung_5,Gast_6,Beschreibung_6,Gast_7,Beschreibung_7,Gast_8,Beschreibung_8,Gast_9,Beschreibung_9,Gast_10,Beschreibung_10,Gast_11,Beschreibung_11,Gast_12,Beschreibung_12,Gast_13,Beschreibung_13
 Markus Lanz 05.01.2021,1472,14,1,05.01.2021,077'05,23:04:53 - 00:21:58," 23:04:53 - 00:21:58 077'05 O-Ton Interview Markus LANZ mit den Studiogästen Peter TSCHENTSCHER (Erster Bgm Hamburg, SPD), Cerstin GAMMELIN (Journalistin ""Süddeutsche Zeitung""), Claudia KADE (Journalistin, Leiterin Ressort Politik ""Die Welt""), Prof. Dr. Peter KREMSNER (Infektiologe, Professor für Tropenmedizin, Reisemedizin und Parasitologie und Direktor des Instituts für Tropenmedizin am Universitätsklinikum Tübingen) und Diana ZIMMERMANN (Leiterin ZDF-Studio London) ",Peter TSCHENTSCHER,"Erster Bgm Hamburg, SPD",Cerstin GAMMELIN,"Journalistin ""Süddeutsche Zeitung""",Claudia KADE,"Journalistin, Leiterin Ressort Politik ""Die Welt""",Peter KREMSNER,"Infektiologe, Professor für Tropenmedizin, Reisemedizin und Parasitologie und Direktor des Instituts für Tropenmedizin am Universitätsklinikum Tübingen",Diana ZIMMERMANN,Leiterin ZDF-Studio London,,,,,,,,,,,,,,,,
 Markus Lanz 06.01.2021,1473,14,2,06.01.2021,077'16,23:29:52 - 00:47:08," 23:29:52 - 00:47:08 077'16 O-Ton Interview Markus LANZ mit den Studiogästen Elmar THEVEßEN (Leiter ZDF-Studio Washington, Zuschaltung ",,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 07.01.2021,1474,14,3,07.01.2021,095'23,22:46:38 - 00:22:01," 22:46:38 - 00:22:01 095'23 O-Ton Interview Markus LANZ mit den Studiogästen Elmar THEVEßEN (Leiter ZDF-Studio Washington, Zuschaltung ",,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 12.01.2021,1475,14,4,12.01.2021,075'43,22:46:18 - 00:02:01," 22:46:18 - 00:02:01 075'43 O-Ton Interview Markus LANZ mit den Studiogästen Elmar THEVEßEN (Leiter ZDF-Studio Washington, Zuschaltung ",,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 13.01.2021,1476,14,5,13.01.2021,073'40,23:25:42 - 00:39:22," 23:25:42 - 00:39:22 073'40 O-Ton Interview Markus LANZ mit den Studiogästen Friedrich MERZ (Bewerber um den Parteivorsitz der CDU), Eva QUADBECK (Journalistin, stellv. Chefredakteurin ""RedaktionsNetzwerk Deutschland""), Dr. Ingmar HOERR (Biologe, Gründer und Vorstandsvors. CureVac AG) und Ulf RÖLLER (Leiter ZDF-Studio Peking, Zuschaltung ",Friedrich MERZ,Bewerber um den Parteivorsitz der CDU,Eva QUADBECK,"Journalistin, stellv. Chefredakteurin ""RedaktionsNetzwerk Deutschland""",Ingmar HOERR,"Biologe, Gründer und Vorstandsvors. CureVac AG",,,,,,,,,,,,,,,,,,,,
 Markus Lanz 14.01.2021,1477,14,6,14.01.2021,075'03,23:19:38 - 00:34:41," 23:19:38 - 00:34:41 075'03 O-Ton Interview Markus LANZ mit den Studiogästen Armin LASCHET (MPr Nordrhein-Westfalen, Bewerber um den Parteivorsitz der CDU), Anja MAIER (Journalistin, Weser Kurier, von 1990 bis 2020 die tageszeitung taz) und Prof. Dr. Alexander KEKULE (Virologe, Prof. für Medizinische Mikrobiologie und Virologie an der Martin-Luther-Universität Halle-Wittenberg, Direktor vom Institut für Medizinische Mikrobiologie am Universitätsklinikum Halle (Saale)) ",Armin LASCHET,"MPr Nordrhein-Westfalen, Bewerber um den Parteivorsitz der CDU",Anja MAIER,"Journalistin, Weser Kurier, von 1990 bis 2020 die tageszeitung taz",Alexander KEKULE,Saale,Medizinische M,Saale,Universität H,Saale,Medizinische M,Saale,Universitätsklinikum H,Saale,,,,,,,,,,,,
 Markus Lanz 19.01.2021,1478,14,7,19.01.2021,077'06,22:57:04 - 00:14:10, 22:57:04 - 00:14:10 077'06 O-Ton Interview Markus LANZ mit den Studiogästen Karl LAUTERBACH (Prof. für Epidemiologie und Gesundheitsökonomie,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 20.01.2021,1479,14,8,20.01.2021,076'12,23:19:43 - 00:35:55," 23:19:43 - 00:35:55 076'12 O-Ton Interview Markus LANZ mit den Studiogästen Elmar THEVEßEN (Leiter ZDF-Studio Washington, Zuschaltung ",,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 21.01.2021,1480,14,9,21.01.2021,074'37,23:19:19 - 00:33:56," 23:19:19 - 00:33:56 074'37 O-Ton Interview Markus LANZ mit den Studiogästen Stephan WEIL (MPr Niedersachsen, SPD), Markus FELDENKIRCHEN (Journalist ""Der Spiegel""), Vanessa VU (Journalistin ""Zeit Online"") und Dr. Wiebke NEHLS (Palliativmedizinerin) ",Stephan WEIL,"MPr Niedersachsen, SPD",Markus FELDENKIRCHEN,"Journalist ""Der Spiegel""",Vanessa VU,"Journalistin ""Zeit Online""",Wiebke NEHLS,Palliativmedizinerin,,,,,,,,,,,,,,,,,,
 Markus Lanz 26.01.2021,1481,14,10,26.01.2021,076'06,22:53:37 - 00:09:43," 22:53:37 - 00:09:43 076'06 O-Ton Interview Markus LANZ mit den Studiogästen Winfried KRETSCHMANN (MPr Baden-Württemberg, Bündnis 90 / Die Grünen, Zuschaltung ",,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 27.01.2021,1482,14,11,27.01.2021,076'19,23:15:04 - 00:31:23," 23:15:04 - 00:31:23 076'19 O-Ton Interview Markus LANZ mit den Studiogästen Markus SÖDER (MPr Bayern, CSU",,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 28.01.2021,1483,14,12,28.01.2021,077'32,23:34:22 - 00:51:54," 23:34:22 - 00:51:54 077'32 O-Ton Interview Markus LANZ mit den Studiogästen Stefanie SCHÖNEBORN (ZDF-Korrespondentin, Zuschaltung per Videotelefonie), Martin SCHULZ (SPD), Dagmar ROSENFELD (Journalistin, Chefredakteurin ""Die Welt""), Christian BALDAUF (Spitzenkandidat CDU Rheinland-Pfalz, Zuschaltung per Videtelefonie) und Dr. Viviane ZOTZMANN (Ärztin, Leitende Stationsärztin Universitäts-Herzzentrum Freiburg - Bad Krozingen) ",Stefanie SCHÖNEBORN,"ZDF-Korrespondentin, Zuschaltung per Videotelefonie",Martin SCHULZ,SPD,Dagmar ROSENFELD,"Journalistin, Chefredakteurin ""Die Welt""",Christian BALDAUF,"Spitzenkandidat CDU Rheinland-Pfalz, Zuschaltung per Videtelefonie",Viviane ZOTZMANN,"Ärztin, Leitende Stationsärztin Universitäts-Herzzentrum Freiburg - Bad Krozingen",,,,,,,,,,,,,,,,
 Markus Lanz 02.02.2021,1484,14,13,02.02.2021,074'37,23:32:34 - 00:47:11," 23:32:34 - 00:47:11 074'37 O-Ton Interview Markus LANZ mit den Studiogästen Malu DREYER (MPr Rheinland-Pfalz, SPD, Zuschaltung ",,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 03.02.2021,1485,14,14,03.02.2021,075'53,23:13:51 - 00:29:44," 23:13:51 - 00:29:44 075'53 O-Ton Interview Markus LANZ mit den Studiogästen Christoph RÖCKERATH (Leiter ZDF-Studio Rio de Janeiro, Zuschaltung ",,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 04.02.2021,1486,14,15,04.02.2021,076'27,23:19:38 - 00:36:05," 23:19:38 - 00:36:05 076'27 O-Ton Interview Markus LANZ mit den Studiogästen Katharina BLACH (Physiotherapeutin), Wolfgang KUBICKI (stellv. Vors FDP), Dr. Karl-Heinz LEVEN (Medizinhistoriker, Professor für Geschichte der Medizin, Direktor Institut für Geschichte und Ethik der Medizin an der Universität Erlangen), Dr. Clemens FUEST (Wirtschaftswissenschaftler, Präs. ifo Institut für Wirtschaftsforschung, Professor für Nationalökonomie und Finanzwissenschaften an der Universität München, Zuschaltung ",Katharina BLACH,Physiotherapeutin,Wolfgang KUBICKI,stellv. Vors FDP,Heinz LEVEN,"Medizinhistoriker, Professor für Geschichte der Medizin, Direktor Institut für Geschichte und Ethik der Medizin an der Universität Erlangen",,,,,,,,,,,,,,,,,,,,
