Staffel Name,start_time,end_time,Anzahl an Folgen,instance_of,part_of_series,genre,presenter,original_broadcaster,country_of_origin,original_language_of_film_or_TV_show
"Markus Lanz, Staffel 1",03.06.2008,04.09.2008,29,Q3464665,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
"Markus Lanz, Staffel 2",16.06.2009,16.12.2009,53,Q3464665,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
"Markus Lanz, Staffel 3",13.01.2010,15.12.2010,96,Q3464665,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
"Markus Lanz, Staffel 4",12.01.2011,15.12.2011,116,Q3464665,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
"Markus Lanz, Staffel 5",10.01.2012,19.12.2012,137,Q3464665,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
"Markus Lanz, Staffel 6",15.01.2013,19.12.2013,127,Q3464665,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
"Markus Lanz, Staffel 7",14.01.2014,18.12.2014,129,Q3464665,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
"Markus Lanz, Staffel 8",13.01.2015,16.12.2015,127,Q3464665,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
"Markus Lanz, Staffel 9",12.01.2016,15.12.2016,129,Q3464665,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
"Markus Lanz, Staffel 10",10.01.2017,14.12.2017,127,Q3464665,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
"Markus Lanz, Staffel 11",09.01.2018,19.12.2018,128,Q3464665,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
"Markus Lanz, Staffel 12",08.01.2019,18.12.2019,135,Q3464665,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
"Markus Lanz, Staffel 13",07.01.2020,17.12.2020,137,Q3464665,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
"Markus Lanz, Staffel 14",05.01.2021,16.12.2021,142,Q3464665,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
"Markus Lanz, Staffel 15",04.01.2022,14.12.2022,135,Q3464665,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
"Markus Lanz, Staffel 16",10.01.2023,21.12.2023,137,Q3464665,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
"Markus Lanz, Staffel 17",09.01.2024,19.12.2024,138,Q3464665,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
